,0
139,120.49659863945577
140,132.37142857142857
141,124.7797619047619
142,112.10000000000001
143,118.47619047619047
144,125.33673469387756
145,132.22103174603174
146,121.82170686456399
147,123.57619047619049
148,133.9
149,129.61904761904762
150,118.66071428571429
151,119.41950113378685
152,118.2
153,143.67857142857142
154,121.95238095238096
155,107.3809523809524
156,137.95970695970695
157,121.49149659863944
158,127.4639455782313
159,128.64285714285714
160,132.9035714285714
161,141.92857142857142
162,120.67619047619048
163,128.03571428571428
164,135.81666666666666
165,143.21428571428572
166,139.7404761904762
167,137.38809523809525
168,147.25714285714284
169,130.61904761904762
170,134.86938775510203
171,137.2425170068027
172,153.6095238095238
173,141.92857142857142
174,125.11428571428573
175,132.19387755102042
176,140.5
177,131.79761904761904
178,136.82142857142858
179,144.4547619047619
180,143.28571428571428
181,125.92857142857143
182,123.42857142857143
183,126.22789115646258
184,124.11904761904762
185,143.41071428571428
186,120.07142857142857
187,141.0
188,127.49489795918366
189,121.6047619047619
190,126.21904761904761
191,119.09183673469387
192,134.7929748613959
193,128.1
194,127.07142857142857
195,129.39523809523808
196,128.12142857142857
197,129.08333333333331
198,126.5
199,129.35714285714286
200,126.64285714285714
201,129.16184655680453
202,130.39285714285714
203,134.78571428571428
204,124.47857142857143
205,131.13690476190476
206,133.17619047619047
207,125.5
208,130.07142857142858
209,122.64285714285714
210,128.7452380952381
211,131.343894993895
212,126.83770871985158
213,125.64285714285714
214,125.23996598639454
215,120.1360544217687
216,132.02678571428572
217,138.57709750566895
218,137.45238095238093
219,152.04761904761907
220,135.74523809523808
221,127.67857142857143
222,135.5340136054422
223,135.8140589569161
224,142.56984126984125
225,135.60714285714286
226,126.37244897959184
227,135.0389455782313
228,127.72142857142856
229,124.45
230,127.92142857142858
231,127.12857142857145
232,123.12350091551771
233,130.58673469387756
234,136.04761904761907
235,140.1214285714286
236,137.78288497217068
237,120.9452380952381
238,127.85714285714286
239,129.95578231292515
240,130.46938775510208
241,125.06071428571428
242,130.09285714285713
243,128.86904761904762
244,137.05794522937381
245,127.58571428571429
246,130.46173469387756
247,124.1360544217687
248,131.76666666666665
249,143.35714285714286
250,126.10853432282003
251,124.89965986394557
252,129.91904761904763
253,143.11904761904762
254,121.69727891156462
255,132.27142857142857
256,131.5787878787879
257,130.11326530612243
258,130.05748299319728
259,122.90476190476191
260,125.38877551020407
261,124.76054421768708
262,127.7
263,118.13571428571429
264,126.0
265,122.48707482993197
266,117.25850340136056
267,133.92857142857142
268,135.48027210884354
269,130.5
270,139.12857142857143
271,132.73809523809524
272,131.66292517006804
273,132.17857142857142
274,122.21428571428571
275,118.51547619047619
276,130.82857142857142
277,129.75
278,128.52380952380955
279,121.39285714285714
280,130.4047619047619
281,118.20714285714284
282,115.20714285714287
283,139.16666666666666
284,136.79999999999998
285,113.07142857142857
286,137.39115646258503
287,124.35714285714286
288,118.67857142857143
289,135.4469387755102
290,134.85714285714286
291,121.0
292,113.53571428571429
293,118.37448979591838
294,130.54285714285714
295,122.0095238095238
296,123.36428571428571
297,127.2030612244898
298,158.49739229024945
299,124.87142857142858
300,134.20238095238093
301,141.22142857142856
302,138.6545918367347
303,127.19642857142858
304,128.2264739229025
305,136.94931972789115
306,120.10476190476189
307,127.35714285714286
308,128.57857142857142
309,137.91666666666666
310,114.31904761904761
311,127.60714285714286
312,116.11054421768708
313,111.35714285714286
314,121.81632653061226
315,124.02006802721088
316,122.30680272108842
317,114.29285714285713
318,131.91190476190476
319,139.2420634920635
320,116.8142857142857
321,148.96734693877553
322,133.0
323,129.156462585034
324,127.9578798185941
325,118.52380952380953
326,122.53911564625851
327,126.47619047619048
328,134.52891156462584
329,126.86190476190477
330,135.65714285714287
331,139.0408163265306
332,118.95249433106575
333,129.0857142857143
334,121.21428571428571
335,129.90816326530611
336,131.90714285714287
337,117.84285714285714
338,114.58333333333333
339,138.28231292517006
340,130.3095238095238
341,125.4047619047619
342,126.12142857142858
343,138.16190476190476
344,124.0484126984127
345,139.51326530612246
346,130.53452380952382
347,122.46428571428571
348,141.71428571428572
349,129.1551020408163
350,115.26428571428572
351,120.21904761904763
352,131.75000000000003
353,121.325
354,120.96428571428571
355,135.73979591836735
356,139.82034632034632
357,128.7977736549165
358,132.57647907647907
359,132.42993197278912
360,123.88367346938776
361,139.61190476190478
362,117.3142857142857
363,124.00714285714285
364,130.47619047619048
365,131.4142857142857
366,123.71428571428571
367,120.27142857142859
368,131.75
369,139.49523809523808
370,134.57741147741146
371,128.8857142857143
372,113.75952380952381
373,136.71309523809524
374,131.90952380952382
375,123.52142857142857
376,119.68095238095238
377,133.05089518324812
378,120.01749639249638
379,128.89285714285714
380,131.27862811791383
381,126.95238095238095
382,117.17857142857143
383,129.30725623582765
384,127.62857142857145
385,121.46190476190476
386,122.86666666666666
387,113.41666666666667
388,129.01904761904763
389,124.25
390,134.78399359743895
391,116.42857142857143
392,143.22587020822317
393,118.64285714285715
394,120.85714285714286
395,127.78571428571429
396,129.45714285714286
397,146.0
398,126.96190476190475
399,123.0515873015873
